codigo;area_trabajo;tipo_turno
AA140695;Gcia. Asuntos Corporativos;Administrativo
AA270684;Envasado;12 horas - Día
AA70375;Industrial;Administrativo
AC100795;Industrial;12 horas - Noche
AC131292;Industrial;12 horas - Día 
AC140358;Operación Enología;Fuera de planta
AD120476;Operación Enología;Administrativo
AD211177;Industrial;Administrativo
AF10877;Industrial;12 horas - Día 
AF220593;Industrial;12 horas - Noche
AF301174;Industrial;Fuera de planta
AG40796;Industrial;12 horas - Licencia
AG60576;Planta General ;12 horas - Noche
AG61265;Operación Enología;12 horas - Noche
AL240257;Gcia. Asuntos Corporativos;Fuera de planta
AL80758;Industrial;Fuera de planta
AM121169;Gcia. Asuntos Corporativos;Administrativo
AM130886;Administración;Administrativo
AM180746;Agrícola;Fuera de planta
AM20362;Agrícola;Administrativo
AM260288;Industrial;Administrativo
AM300784;Planta General ;Administrativo
AN250997;Industrial;12 horas - Noche 
AP120485;Industrial;12 horas - Noche
AR100495;Operación Enología;Administrativo
AR50373;Casino ;Administrativo
AS50474;Industrial;Administrativo
BB280883;Industrial;12 horas - Backup
BK10791;Industrial;Administrativo
BM271283;Industrial;12 horas - Noche
BP160688;Operación Enología;12 horas - Noche
BS190966;Logística;12 horas - Día 
BV140894;Planta General ;Administrativo
BV180694;Administración;Administrativo
CA210687;Industrial;12 horas - Noche
CB30975;Recursos Humanos;Fuera de planta
CD160974;Gcia. Asuntos Corporativos;Fuera de planta
CD70885;Industrial;12 horas - Licencia 
CD81086;Industrial;12 horas - Día
CE10877;Agrícola;Administrativo
CG250648;Agrícola;Fuera de planta
CG311087;Operación Enología;Administrativo
CG40993;Agrícola;Administrativo
CH10772;Industrial;12 horas - Noche
CH190793;Industrial;Administrativo
CH200791;Agrícola;Administrativo
CJ11088;Logística;Administrativo
CJ120480;Industrial;12 horas - Backup
CJ131166;Envasado;12 horas - Noche
CL280694;Industrial;Administrativo
CM120494;Industrial;12 horas - Día
CN260895;Administración;Administrativo
CP180995;Industrial;12 horas - Backup
CP30476;Industrial;Fuera de planta
CQ310393;Industrial;12 horas - Noche
CR90189;Administración;Administrativo
CS10687;Recursos Humanos;Administrativo
CS131068;Agrícola;Administrativo
CS141292;Envasado;12 Horas
CS200788;Operación Enología;Fuera de planta
CT201078;Operación Enología;Administrativo
CV180696;Agrícola;Administrativo
CV280188;Operación Enología;12 horas - Backup
CV31181;Logística;Administrativo
DA110999;Industrial;12 horas - Backup
DA170591;Recursos Humanos;12 horas - Día 
DC220867;N/A;Administrativo
DC30577;Industrial;Administrativo
DC310595;Industrial;12 horas - Día 
DC80888;Administración;Fuera de planta
DD250485;Operación Enología;12 horas - Noche
DF11193;Operación Enología;12 horas - Día 
DF130598;Industrial;12 horas - Día 
DG170289;Industrial;12 horas - Día 
DG260452;Agrícola;Fuera de planta
DG290797;Industrial;12 Horas
DG31101;Administración;Administrativo
DM60991;Casino ;12 horas - Día
DP160999;Administración;12 horas - Noche
DP230268;Industrial;12 horas - Backup
DR240691;Operación Enología;Administrativo
DS81200;Planta General ;Administrativo
DV190573;Transporte ;Administrativo
EB291286;Industrial;12 horas - Backup
EC10360;Administración;Fuera de planta
