codigo,area_trabajo,tipo_turno,estado_inicial
AA140695,isla_maipo,Administrativo,random
AA270684,isla_maipo,12 Horas - Dia,random
AA70375,isla_maipo,Administrativo,random
AC100795,isla_maipo,12 Horas - Noche,random
AC131292,isla_maipo,12 Horas - Dia,random
AC140358,isla_maipo,Fuera de planta,random
AD120476,isla_maipo,Administrativo,random
AD211177,isla_maipo,Administrativo,random
AF10877,isla_maipo,12 Horas - Dia,random
AF220593,isla_maipo,12 Horas - Noche,random
AF301174,isla_maipo,Fuera de planta,random
AG40796,isla_maipo,12 Horas - Dia,random
AG60576,isla_maipo,12 Horas - Noche,random
AG61265,isla_maipo,12 Horas - Noche,random
AL240257,isla_maipo,Fuera de planta,random
AL80758,isla_maipo,Fuera de planta,random
AM121169,isla_maipo,Administrativo,random
AM130886,isla_maipo,Administrativo,random
AM180746,isla_maipo,Fuera de planta,random
AM20362,isla_maipo,Administrativo,random
AM260288,isla_maipo,Administrativo,random
AM300784,isla_maipo,Administrativo,random
AN250997,isla_maipo,12 Horas - Noche,random
AP120485,isla_maipo,12 Horas - Noche,random
AR100495,isla_maipo,Administrativo,random
AR50373,isla_maipo,Administrativo,random
AS50474,isla_maipo,Administrativo,random
BB280883,isla_maipo,12 Horas - Backup,random
BK10791,isla_maipo,Administrativo,random
BM271283,isla_maipo,12 Horas - Noche,random
BP160688,isla_maipo,12 Horas - Noche,random
BS190966,isla_maipo,12 Horas - Dia,random
BV140894,isla_maipo,Administrativo,random
BV180694,isla_maipo,Administrativo,random
CA210687,isla_maipo,12 Horas - Noche,random
CB30975,isla_maipo,Fuera de planta,random
CD160974,isla_maipo,Fuera de planta,random
CD70885,isla_maipo,12 Horas - Noche,random
CD81086,isla_maipo,12 Horas - Dia,random
CE10877,isla_maipo,Administrativo,random
CG250648,isla_maipo,Fuera de planta,random
CG311087,isla_maipo,Administrativo,random
CG40993,isla_maipo,Administrativo,random
CH10772,isla_maipo,12 Horas - Noche,random
CH190793,isla_maipo,Administrativo,random
CH200791,isla_maipo,Administrativo,random
CJ11088,isla_maipo,Administrativo,random
CJ120480,isla_maipo,12 Horas - Backup,random
CJ131166,isla_maipo,12 Horas - Noche,random
CL280694,isla_maipo,Administrativo,random
CM120494,isla_maipo,12 Horas - Dia,random
CN260895,isla_maipo,Administrativo,random
CP180995,isla_maipo,12 Horas - Backup,random
CP30476,isla_maipo,Fuera de planta,random
CQ310393,isla_maipo,12 Horas - Noche,random
CR90189,isla_maipo,Administrativo,random
CS10687,isla_maipo,Administrativo,infeccioso
CS131068,isla_maipo,Administrativo,random
CS141292,isla_maipo,12 Horas,random
CS200788,isla_maipo,Fuera de planta,random
CT201078,isla_maipo,Administrativo,random
CV180696,isla_maipo,Administrativo,random
CV280188,isla_maipo,12 Horas - Backup,random
CV31181,isla_maipo,Administrativo,random
DA110999,isla_maipo,12 Horas - Backup,random
DA170591,isla_maipo,12 Horas - Dia,random
DC220867,isla_maipo,Administrativo,random
DC30577,isla_maipo,Administrativo,random
DC310595,isla_maipo,12 Horas - Dia,random
DC80888,isla_maipo,Fuera de planta,random
DD250485,isla_maipo,12 Horas - Noche,random
DF11193,isla_maipo,12 Horas - Dia,random
DF130598,isla_maipo,12 Horas - Dia,random
DG170289,isla_maipo,12 Horas - Dia,random
DG260452,isla_maipo,Fuera de planta,random
DG290797,isla_maipo,12 Horas,random
DG31101,isla_maipo,Administrativo,random
DM60991,isla_maipo,12 Horas - Dia,random
DP160999,isla_maipo,12 Horas - Noche,random
DP230268,isla_maipo,12 Horas - Backup,random
DR240691,isla_maipo,Administrativo,random
DS81200,isla_maipo,Administrativo,random
