,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('susceptible', 'susceptible', 'trabajo', False)",100,0,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",98,1,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,1,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",98,2,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,2,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",98,3,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,3,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",97,4,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,4,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",97,5,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,5,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",99,6,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",1,6,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",95,7,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,7,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",95,8,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,8,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,9,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,9,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,10,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,10,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,11,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,11,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",97,12,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,12,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,13,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,13,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,14,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,14,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",99,15,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",1,15,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",98,16,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,16,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",98,17,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,17,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",99,18,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",1,18,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",95,19,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,19,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",95,20,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,20,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,21,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,21,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'infeccioso', 'cuarentena', False)",8,22,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",92,22,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",8,23,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",92,23,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,24,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,24,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,25,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,25,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,26,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,26,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",97,27,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,27,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",91,28,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",9,28,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",91,29,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",9,29,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,30,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",6,30,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",88,31,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",12,31,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",88,32,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",12,32,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,33,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",6,33,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,34,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,34,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,35,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,35,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",99,36,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",1,36,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",97,37,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,37,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",97,38,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,38,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",98,39,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,39,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,40,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,40,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,41,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,41,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",98,42,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,42,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,43,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,43,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,44,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,44,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",98,45,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,45,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",95,46,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,46,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",95,47,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,47,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",97,48,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,48,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,49,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",6,49,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,50,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",6,50,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",97,51,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,51,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,52,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,52,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,53,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,53,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,54,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,54,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,55,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,55,0,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,56,0,susceptible,susceptible,trabajo,False
