,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('susceptible', 'susceptible', 'trabajo', False)",99,0,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,0,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,1,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",1,1,0,infeccioso,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,1,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,2,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",1,2,0,infeccioso,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,2,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,3,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",1,3,0,infeccioso,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,3,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,4,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",1,4,0,infeccioso,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,4,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,5,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",1,5,0,infeccioso,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,5,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,6,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",1,6,0,infeccioso,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,6,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,7,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",1,7,0,infeccioso,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,7,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,8,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",1,8,0,infeccioso,susceptible,cuarentena,False
