,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('susceptible', 'susceptible', 'trabajo', False)",97,0,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",3,0,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",97,1,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",3,1,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",91,2,0,susceptible,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",6,2,0,expuesto,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",3,2,0,infeccioso,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",12,3,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",85,3,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",3,3,0,infeccioso,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",16,4,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",81,4,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",3,4,0,infeccioso,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",20,5,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",77,5,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",3,5,0,infeccioso,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",25,6,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",72,6,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",3,6,0,infeccioso,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",31,7,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",66,7,0,susceptible,susceptible,trabajo,False
