cantidad,tiempo,it,estado,estado_observado,actividad,sintomas
100,0,0,susceptible,susceptible,trabajo,False
100,1,0,susceptible,susceptible,trabajo,False
100,2,0,susceptible,susceptible,trabajo,False
100,3,0,susceptible,susceptible,trabajo,False
100,4,0,susceptible,susceptible,trabajo,False
100,5,0,susceptible,susceptible,trabajo,False
100,6,0,susceptible,susceptible,trabajo,False
100,7,0,susceptible,susceptible,trabajo,False
100,8,0,susceptible,susceptible,trabajo,False
100,9,0,susceptible,susceptible,trabajo,False
100,10,0,susceptible,susceptible,trabajo,False
100,11,0,susceptible,susceptible,trabajo,False
100,12,0,susceptible,susceptible,trabajo,False
100,13,0,susceptible,susceptible,trabajo,False
100,14,0,susceptible,susceptible,trabajo,False
100,15,0,susceptible,susceptible,trabajo,False
100,16,0,susceptible,susceptible,trabajo,False
100,17,0,susceptible,susceptible,trabajo,False
100,18,0,susceptible,susceptible,trabajo,False
100,19,0,susceptible,susceptible,trabajo,False
100,20,0,susceptible,susceptible,trabajo,False
100,21,0,susceptible,susceptible,trabajo,False
100,22,0,susceptible,susceptible,trabajo,False
100,23,0,susceptible,susceptible,trabajo,False
100,24,0,susceptible,susceptible,trabajo,False
100,25,0,susceptible,susceptible,trabajo,False
100,26,0,susceptible,susceptible,trabajo,False
100,27,0,susceptible,susceptible,trabajo,False
100,28,0,susceptible,susceptible,trabajo,False
100,29,0,susceptible,susceptible,trabajo,False
100,30,0,susceptible,susceptible,trabajo,False
100,31,0,susceptible,susceptible,trabajo,False
100,32,0,susceptible,susceptible,trabajo,False
100,33,0,susceptible,susceptible,trabajo,False
100,34,0,susceptible,susceptible,trabajo,False
100,35,0,susceptible,susceptible,trabajo,False
100,36,0,susceptible,susceptible,trabajo,False
100,37,0,susceptible,susceptible,trabajo,False
100,38,0,susceptible,susceptible,trabajo,False
100,39,0,susceptible,susceptible,trabajo,False
100,40,0,susceptible,susceptible,trabajo,False
100,41,0,susceptible,susceptible,trabajo,False
100,42,0,susceptible,susceptible,trabajo,False
100,43,0,susceptible,susceptible,trabajo,False
100,44,0,susceptible,susceptible,trabajo,False
100,45,0,susceptible,susceptible,trabajo,False
100,46,0,susceptible,susceptible,trabajo,False
100,47,0,susceptible,susceptible,trabajo,False
100,48,0,susceptible,susceptible,trabajo,False
100,49,0,susceptible,susceptible,trabajo,False
100,50,0,susceptible,susceptible,trabajo,False
100,51,0,susceptible,susceptible,trabajo,False
100,52,0,susceptible,susceptible,trabajo,False
100,53,0,susceptible,susceptible,trabajo,False
100,54,0,susceptible,susceptible,trabajo,False
100,55,0,susceptible,susceptible,trabajo,False
100,56,0,susceptible,susceptible,trabajo,False
100,57,0,susceptible,susceptible,trabajo,False
100,58,0,susceptible,susceptible,trabajo,False
100,59,0,susceptible,susceptible,trabajo,False
100,60,0,susceptible,susceptible,trabajo,False
100,61,0,susceptible,susceptible,trabajo,False
100,62,0,susceptible,susceptible,trabajo,False
100,63,0,susceptible,susceptible,trabajo,False
100,64,0,susceptible,susceptible,trabajo,False
100,65,0,susceptible,susceptible,trabajo,False
100,66,0,susceptible,susceptible,trabajo,False
100,67,0,susceptible,susceptible,trabajo,False
100,68,0,susceptible,susceptible,trabajo,False
100,69,0,susceptible,susceptible,trabajo,False
100,70,0,susceptible,susceptible,trabajo,False
100,71,0,susceptible,susceptible,trabajo,False
100,72,0,susceptible,susceptible,trabajo,False
100,73,0,susceptible,susceptible,trabajo,False
100,74,0,susceptible,susceptible,trabajo,False
100,75,0,susceptible,susceptible,trabajo,False
100,76,0,susceptible,susceptible,trabajo,False
100,77,0,susceptible,susceptible,trabajo,False
100,78,0,susceptible,susceptible,trabajo,False
100,79,0,susceptible,susceptible,trabajo,False
100,80,0,susceptible,susceptible,trabajo,False
100,81,0,susceptible,susceptible,trabajo,False
100,82,0,susceptible,susceptible,trabajo,False
100,83,0,susceptible,susceptible,trabajo,False
100,84,0,susceptible,susceptible,trabajo,False
100,85,0,susceptible,susceptible,trabajo,False
100,86,0,susceptible,susceptible,trabajo,False
100,87,0,susceptible,susceptible,trabajo,False
100,88,0,susceptible,susceptible,trabajo,False
100,89,0,susceptible,susceptible,trabajo,False
100,90,0,susceptible,susceptible,trabajo,False
100,91,0,susceptible,susceptible,trabajo,False
100,92,0,susceptible,susceptible,trabajo,False
100,93,0,susceptible,susceptible,trabajo,False
100,94,0,susceptible,susceptible,trabajo,False
100,95,0,susceptible,susceptible,trabajo,False
100,96,0,susceptible,susceptible,trabajo,False
100,97,0,susceptible,susceptible,trabajo,False
100,98,0,susceptible,susceptible,trabajo,False
100,99,0,susceptible,susceptible,trabajo,False
100,100,0,susceptible,susceptible,trabajo,False
100,101,0,susceptible,susceptible,trabajo,False
100,102,0,susceptible,susceptible,trabajo,False
100,103,0,susceptible,susceptible,trabajo,False
100,104,0,susceptible,susceptible,trabajo,False
100,105,0,susceptible,susceptible,trabajo,False
100,106,0,susceptible,susceptible,trabajo,False
100,107,0,susceptible,susceptible,trabajo,False
100,108,0,susceptible,susceptible,trabajo,False
100,109,0,susceptible,susceptible,trabajo,False
100,110,0,susceptible,susceptible,trabajo,False
100,111,0,susceptible,susceptible,trabajo,False
100,112,0,susceptible,susceptible,trabajo,False
100,113,0,susceptible,susceptible,trabajo,False
100,114,0,susceptible,susceptible,trabajo,False
100,115,0,susceptible,susceptible,trabajo,False
100,116,0,susceptible,susceptible,trabajo,False
