cantidad,tiempo,it,estado,estado_observado,actividad,sintomas
98,0,0,susceptible,susceptible,trabajo,False
2,0,0,infeccioso,susceptible,trabajo,False
98,1,0,susceptible,susceptible,trabajo,False
2,1,0,infeccioso,susceptible,trabajo,False
98,2,0,susceptible,susceptible,trabajo,False
2,2,0,infeccioso,susceptible,trabajo,False
97,3,0,susceptible,susceptible,trabajo,False
3,3,0,infeccioso,susceptible,trabajo,False
96,4,0,susceptible,susceptible,trabajo,False
1,4,0,expuesto,susceptible,trabajo,False
3,4,0,infeccioso,susceptible,trabajo,False
96,5,0,susceptible,susceptible,trabajo,False
1,5,0,expuesto,susceptible,trabajo,False
3,5,0,infeccioso,susceptible,trabajo,False
96,6,0,susceptible,susceptible,trabajo,False
1,6,0,expuesto,susceptible,trabajo,False
3,6,0,infeccioso,susceptible,trabajo,False
96,7,0,susceptible,susceptible,trabajo,False
4,7,0,infeccioso,susceptible,trabajo,False
95,8,0,susceptible,susceptible,trabajo,False
5,8,0,infeccioso,susceptible,trabajo,False
95,9,0,susceptible,susceptible,trabajo,False
1,9,0,infeccioso,susceptible,trabajo,True
4,9,0,infeccioso,susceptible,trabajo,False
95,10,0,susceptible,susceptible,trabajo,False
1,10,0,infeccioso,susceptible,trabajo,True
4,10,0,infeccioso,susceptible,trabajo,False
95,11,0,susceptible,susceptible,trabajo,False
1,11,0,infeccioso,susceptible,trabajo,True
3,11,0,infeccioso,susceptible,trabajo,False
1,11,0,recuperado,susceptible,trabajo,False
95,12,0,susceptible,susceptible,trabajo,False
2,12,0,infeccioso,susceptible,trabajo,True
2,12,0,infeccioso,susceptible,trabajo,False
1,12,0,recuperado,susceptible,trabajo,False
94,13,0,susceptible,susceptible,trabajo,False
2,13,0,infeccioso,susceptible,trabajo,True
2,13,0,recuperado,susceptible,trabajo,False
1,13,0,expuesto,susceptible,trabajo,False
1,13,0,infeccioso,susceptible,trabajo,False
94,14,0,susceptible,susceptible,trabajo,False
2,14,0,infeccioso,susceptible,trabajo,True
2,14,0,recuperado,susceptible,trabajo,False
1,14,0,expuesto,susceptible,trabajo,False
1,14,0,infeccioso,susceptible,trabajo,False
94,15,0,susceptible,susceptible,trabajo,False
2,15,0,infeccioso,susceptible,trabajo,True
2,15,0,recuperado,susceptible,trabajo,False
1,15,0,expuesto,susceptible,trabajo,False
1,15,0,infeccioso,susceptible,trabajo,False
94,16,0,susceptible,susceptible,trabajo,False
2,16,0,infeccioso,susceptible,trabajo,False
1,16,0,infeccioso,susceptible,trabajo,True
2,16,0,recuperado,susceptible,trabajo,False
1,16,0,expuesto,susceptible,trabajo,False
94,17,0,susceptible,susceptible,trabajo,False
2,17,0,infeccioso,susceptible,trabajo,False
1,17,0,infeccioso,susceptible,trabajo,True
2,17,0,recuperado,susceptible,trabajo,False
1,17,0,expuesto,susceptible,trabajo,False
94,18,0,susceptible,susceptible,trabajo,False
2,18,0,infeccioso,susceptible,trabajo,False
1,18,0,infeccioso,susceptible,trabajo,True
2,18,0,recuperado,susceptible,trabajo,False
1,18,0,expuesto,susceptible,trabajo,False
93,19,0,susceptible,susceptible,trabajo,False
2,19,0,infeccioso,susceptible,trabajo,False
1,19,0,infeccioso,susceptible,trabajo,True
2,19,0,expuesto,susceptible,trabajo,False
2,19,0,recuperado,susceptible,trabajo,False
93,20,0,susceptible,susceptible,trabajo,False
2,20,0,infeccioso,susceptible,trabajo,False
1,20,0,infeccioso,susceptible,trabajo,True
2,20,0,expuesto,susceptible,trabajo,False
2,20,0,recuperado,susceptible,trabajo,False
93,21,0,susceptible,susceptible,trabajo,False
3,21,0,infeccioso,susceptible,trabajo,False
2,21,0,expuesto,susceptible,trabajo,False
2,21,0,recuperado,susceptible,trabajo,False
93,22,0,susceptible,susceptible,trabajo,False
4,22,0,infeccioso,susceptible,trabajo,False
2,22,0,recuperado,susceptible,trabajo,False
1,22,0,expuesto,susceptible,trabajo,False
90,23,0,susceptible,susceptible,trabajo,False
6,23,0,infeccioso,susceptible,trabajo,False
2,23,0,recuperado,susceptible,trabajo,False
2,23,0,expuesto,susceptible,trabajo,False
89,24,0,susceptible,susceptible,trabajo,False
3,24,0,expuesto,susceptible,trabajo,False
5,24,0,infeccioso,susceptible,trabajo,False
1,24,0,infeccioso,susceptible,trabajo,True
2,24,0,recuperado,susceptible,trabajo,False
88,25,0,susceptible,susceptible,trabajo,False
3,25,0,expuesto,susceptible,trabajo,False
5,25,0,infeccioso,susceptible,trabajo,False
1,25,0,infeccioso,susceptible,trabajo,True
3,25,0,recuperado,susceptible,trabajo,False
88,26,0,susceptible,susceptible,trabajo,False
3,26,0,expuesto,susceptible,trabajo,False
5,26,0,infeccioso,susceptible,trabajo,False
1,26,0,infeccioso,susceptible,trabajo,True
3,26,0,recuperado,susceptible,trabajo,False
88,27,0,susceptible,susceptible,trabajo,False
5,27,0,infeccioso,susceptible,trabajo,False
2,27,0,expuesto,susceptible,trabajo,False
2,27,0,infeccioso,susceptible,trabajo,True
3,27,0,recuperado,susceptible,trabajo,False
88,28,0,susceptible,susceptible,trabajo,False
4,28,0,infeccioso,susceptible,trabajo,False
2,28,0,expuesto,susceptible,trabajo,False
4,28,0,recuperado,susceptible,trabajo,False
2,28,0,infeccioso,susceptible,trabajo,True
87,29,0,susceptible,susceptible,trabajo,False
4,29,0,infeccioso,susceptible,trabajo,False
2,29,0,expuesto,susceptible,trabajo,False
4,29,0,recuperado,susceptible,trabajo,False
3,29,0,infeccioso,susceptible,trabajo,True
86,30,0,susceptible,susceptible,trabajo,False
5,30,0,infeccioso,susceptible,trabajo,False
2,30,0,expuesto,susceptible,trabajo,False
4,30,0,recuperado,susceptible,trabajo,False
3,30,0,infeccioso,susceptible,trabajo,True
86,31,0,susceptible,susceptible,trabajo,False
7,31,0,infeccioso,susceptible,trabajo,False
4,31,0,recuperado,susceptible,trabajo,False
2,31,0,infeccioso,susceptible,trabajo,True
1,31,0,expuesto,susceptible,trabajo,False
84,32,0,susceptible,susceptible,trabajo,False
10,32,0,infeccioso,susceptible,trabajo,False
4,32,0,recuperado,susceptible,trabajo,False
2,32,0,infeccioso,susceptible,trabajo,True
82,33,0,susceptible,susceptible,trabajo,False
10,33,0,infeccioso,susceptible,trabajo,False
3,33,0,infeccioso,susceptible,trabajo,True
4,33,0,recuperado,susceptible,trabajo,False
1,33,0,expuesto,susceptible,trabajo,False
79,34,0,susceptible,susceptible,trabajo,False
10,34,0,infeccioso,susceptible,trabajo,False
3,34,0,infeccioso,susceptible,trabajo,True
3,34,0,expuesto,susceptible,trabajo,False
5,34,0,recuperado,susceptible,trabajo,False
78,35,0,susceptible,susceptible,trabajo,False
11,35,0,infeccioso,susceptible,trabajo,False
3,35,0,infeccioso,susceptible,trabajo,True
3,35,0,expuesto,susceptible,trabajo,False
5,35,0,recuperado,susceptible,trabajo,False
77,36,0,susceptible,susceptible,trabajo,False
13,36,0,infeccioso,susceptible,trabajo,False
1,36,0,infeccioso,susceptible,trabajo,True
4,36,0,expuesto,susceptible,trabajo,False
5,36,0,recuperado,susceptible,trabajo,False
74,37,0,susceptible,susceptible,trabajo,False
14,37,0,infeccioso,susceptible,trabajo,False
6,37,0,expuesto,susceptible,trabajo,False
1,37,0,infeccioso,susceptible,trabajo,True
5,37,0,recuperado,susceptible,trabajo,False
74,38,0,susceptible,susceptible,trabajo,False
2,38,0,infeccioso,susceptible,trabajo,True
15,38,0,infeccioso,susceptible,trabajo,False
4,38,0,expuesto,susceptible,trabajo,False
5,38,0,recuperado,susceptible,trabajo,False
71,39,0,susceptible,susceptible,trabajo,False
2,39,0,infeccioso,susceptible,trabajo,True
16,39,0,infeccioso,susceptible,trabajo,False
6,39,0,expuesto,susceptible,trabajo,False
5,39,0,recuperado,susceptible,trabajo,False
70,40,0,susceptible,susceptible,trabajo,False
2,40,0,infeccioso,susceptible,trabajo,True
19,40,0,infeccioso,susceptible,trabajo,False
4,40,0,expuesto,susceptible,trabajo,False
5,40,0,recuperado,susceptible,trabajo,False
70,41,0,susceptible,susceptible,trabajo,False
4,41,0,infeccioso,susceptible,trabajo,True
17,41,0,infeccioso,susceptible,trabajo,False
4,41,0,expuesto,susceptible,trabajo,False
5,41,0,recuperado,susceptible,trabajo,False
67,42,0,susceptible,susceptible,trabajo,False
4,42,0,infeccioso,susceptible,trabajo,True
23,42,0,infeccioso,susceptible,trabajo,False
5,42,0,recuperado,susceptible,trabajo,False
1,42,0,expuesto,susceptible,trabajo,False
64,43,0,susceptible,susceptible,trabajo,False
4,43,0,infeccioso,susceptible,trabajo,True
23,43,0,infeccioso,susceptible,trabajo,False
3,43,0,expuesto,susceptible,trabajo,False
6,43,0,recuperado,susceptible,trabajo,False
64,44,0,susceptible,susceptible,trabajo,False
6,44,0,infeccioso,susceptible,trabajo,True
21,44,0,infeccioso,susceptible,trabajo,False
2,44,0,expuesto,susceptible,trabajo,False
7,44,0,recuperado,susceptible,trabajo,False
60,45,0,susceptible,susceptible,trabajo,False
20,45,0,infeccioso,susceptible,trabajo,False
7,45,0,infeccioso,susceptible,trabajo,True
6,45,0,expuesto,susceptible,trabajo,False
7,45,0,recuperado,susceptible,trabajo,False
58,46,0,susceptible,susceptible,trabajo,False
23,46,0,infeccioso,susceptible,trabajo,False
7,46,0,infeccioso,susceptible,trabajo,True
5,46,0,expuesto,susceptible,trabajo,False
7,46,0,recuperado,susceptible,trabajo,False
54,47,0,susceptible,susceptible,trabajo,False
23,47,0,infeccioso,susceptible,trabajo,False
9,47,0,infeccioso,susceptible,trabajo,True
6,47,0,expuesto,susceptible,trabajo,False
8,47,0,recuperado,susceptible,trabajo,False
53,48,0,susceptible,susceptible,trabajo,False
22,48,0,infeccioso,susceptible,trabajo,False
11,48,0,infeccioso,susceptible,trabajo,True
5,48,0,expuesto,susceptible,trabajo,False
9,48,0,recuperado,susceptible,trabajo,False
49,49,0,susceptible,susceptible,trabajo,False
23,49,0,infeccioso,susceptible,trabajo,False
12,49,0,infeccioso,susceptible,trabajo,True
7,49,0,expuesto,susceptible,trabajo,False
9,49,0,recuperado,susceptible,trabajo,False
46,50,0,susceptible,susceptible,trabajo,False
30,50,0,infeccioso,susceptible,trabajo,False
10,50,0,infeccioso,susceptible,trabajo,True
5,50,0,expuesto,susceptible,trabajo,False
9,50,0,recuperado,susceptible,trabajo,False
40,51,0,susceptible,susceptible,trabajo,False
37,51,0,infeccioso,susceptible,trabajo,False
9,51,0,infeccioso,susceptible,trabajo,True
4,51,0,expuesto,susceptible,trabajo,False
10,51,0,recuperado,susceptible,trabajo,False
37,52,0,susceptible,susceptible,trabajo,False
38,52,0,infeccioso,susceptible,trabajo,False
11,52,0,recuperado,susceptible,trabajo,False
9,52,0,infeccioso,susceptible,trabajo,True
5,52,0,expuesto,susceptible,trabajo,False
36,53,0,susceptible,susceptible,trabajo,False
36,53,0,infeccioso,susceptible,trabajo,False
11,53,0,infeccioso,susceptible,trabajo,True
12,53,0,recuperado,susceptible,trabajo,False
5,53,0,expuesto,susceptible,trabajo,False
35,54,0,susceptible,susceptible,trabajo,False
38,54,0,infeccioso,susceptible,trabajo,False
10,54,0,infeccioso,susceptible,trabajo,True
14,54,0,recuperado,susceptible,trabajo,False
3,54,0,expuesto,susceptible,trabajo,False
30,55,0,susceptible,susceptible,trabajo,False
38,55,0,infeccioso,susceptible,trabajo,False
11,55,0,infeccioso,susceptible,trabajo,True
17,55,0,recuperado,susceptible,trabajo,False
4,55,0,expuesto,susceptible,trabajo,False
29,56,0,susceptible,susceptible,trabajo,False
37,56,0,infeccioso,susceptible,trabajo,False
12,56,0,infeccioso,susceptible,trabajo,True
17,56,0,recuperado,susceptible,trabajo,False
5,56,0,expuesto,susceptible,trabajo,False
36,57,0,infeccioso,susceptible,trabajo,False
27,57,0,susceptible,susceptible,trabajo,False
18,57,0,recuperado,susceptible,trabajo,False
13,57,0,infeccioso,susceptible,trabajo,True
6,57,0,expuesto,susceptible,trabajo,False
39,58,0,infeccioso,susceptible,trabajo,False
22,58,0,susceptible,susceptible,trabajo,False
19,58,0,recuperado,susceptible,trabajo,False
12,58,0,infeccioso,susceptible,trabajo,True
8,58,0,expuesto,susceptible,trabajo,False
38,59,0,infeccioso,susceptible,trabajo,False
21,59,0,susceptible,susceptible,trabajo,False
19,59,0,recuperado,susceptible,trabajo,False
14,59,0,infeccioso,susceptible,trabajo,True
8,59,0,expuesto,susceptible,trabajo,False
44,60,0,infeccioso,susceptible,trabajo,False
20,60,0,susceptible,susceptible,trabajo,False
20,60,0,recuperado,susceptible,trabajo,False
4,60,0,expuesto,susceptible,trabajo,False
12,60,0,infeccioso,susceptible,trabajo,True
46,61,0,infeccioso,susceptible,trabajo,False
17,61,0,susceptible,susceptible,trabajo,False
21,61,0,recuperado,susceptible,trabajo,False
4,61,0,expuesto,susceptible,trabajo,False
12,61,0,infeccioso,susceptible,trabajo,True
47,62,0,infeccioso,susceptible,trabajo,False
16,62,0,susceptible,susceptible,trabajo,False
23,62,0,recuperado,susceptible,trabajo,False
2,62,0,expuesto,susceptible,trabajo,False
12,62,0,infeccioso,susceptible,trabajo,True
48,63,0,infeccioso,susceptible,trabajo,False
16,63,0,susceptible,susceptible,trabajo,False
23,63,0,recuperado,susceptible,trabajo,False
2,63,0,expuesto,susceptible,trabajo,False
11,63,0,infeccioso,susceptible,trabajo,True
45,64,0,infeccioso,susceptible,trabajo,False
16,64,0,susceptible,susceptible,trabajo,False
25,64,0,recuperado,susceptible,trabajo,False
12,64,0,infeccioso,susceptible,trabajo,True
2,64,0,expuesto,susceptible,trabajo,False
47,65,0,infeccioso,susceptible,trabajo,False
15,65,0,susceptible,susceptible,trabajo,False
27,65,0,recuperado,susceptible,trabajo,False
9,65,0,infeccioso,susceptible,trabajo,True
2,65,0,expuesto,susceptible,trabajo,False
47,66,0,infeccioso,susceptible,trabajo,False
13,66,0,susceptible,susceptible,trabajo,False
29,66,0,recuperado,susceptible,trabajo,False
8,66,0,infeccioso,susceptible,trabajo,True
3,66,0,expuesto,susceptible,trabajo,False
50,67,0,infeccioso,susceptible,trabajo,False
11,67,0,susceptible,susceptible,trabajo,False
31,67,0,recuperado,susceptible,trabajo,False
6,67,0,infeccioso,susceptible,trabajo,True
2,67,0,expuesto,susceptible,trabajo,False
51,68,0,infeccioso,susceptible,trabajo,False
9,68,0,susceptible,susceptible,trabajo,False
33,68,0,recuperado,susceptible,trabajo,False
4,68,0,infeccioso,susceptible,trabajo,True
3,68,0,expuesto,susceptible,trabajo,False
47,69,0,infeccioso,susceptible,trabajo,False
9,69,0,susceptible,susceptible,trabajo,False
35,69,0,recuperado,susceptible,trabajo,False
6,69,0,infeccioso,susceptible,trabajo,True
3,69,0,expuesto,susceptible,trabajo,False
47,70,0,infeccioso,susceptible,trabajo,False
9,70,0,susceptible,susceptible,trabajo,False
35,70,0,recuperado,susceptible,trabajo,False
6,70,0,infeccioso,susceptible,trabajo,True
3,70,0,expuesto,susceptible,trabajo,False
43,71,0,infeccioso,susceptible,trabajo,False
8,71,0,susceptible,susceptible,trabajo,False
40,71,0,recuperado,susceptible,trabajo,False
6,71,0,infeccioso,susceptible,trabajo,True
3,71,0,expuesto,susceptible,trabajo,False
43,72,0,infeccioso,susceptible,trabajo,False
8,72,0,susceptible,susceptible,trabajo,False
42,72,0,recuperado,susceptible,trabajo,False
3,72,0,expuesto,susceptible,trabajo,False
4,72,0,infeccioso,susceptible,trabajo,True
40,73,0,infeccioso,susceptible,trabajo,False
5,73,0,infeccioso,susceptible,trabajo,True
7,73,0,susceptible,susceptible,trabajo,False
46,73,0,recuperado,susceptible,trabajo,False
2,73,0,expuesto,susceptible,trabajo,False
37,74,0,infeccioso,susceptible,trabajo,False
5,74,0,infeccioso,susceptible,trabajo,True
2,74,0,expuesto,susceptible,trabajo,False
50,74,0,recuperado,susceptible,trabajo,False
6,74,0,susceptible,susceptible,trabajo,False
32,75,0,infeccioso,susceptible,trabajo,False
5,75,0,infeccioso,susceptible,trabajo,True
2,75,0,expuesto,susceptible,trabajo,False
55,75,0,recuperado,susceptible,trabajo,False
6,75,0,susceptible,susceptible,trabajo,False
35,76,0,infeccioso,susceptible,trabajo,False
4,76,0,infeccioso,susceptible,trabajo,True
1,76,0,expuesto,susceptible,trabajo,False
55,76,0,recuperado,susceptible,trabajo,False
5,76,0,susceptible,susceptible,trabajo,False
34,77,0,infeccioso,susceptible,trabajo,False
3,77,0,infeccioso,susceptible,trabajo,True
1,77,0,expuesto,susceptible,trabajo,False
57,77,0,recuperado,susceptible,trabajo,False
5,77,0,susceptible,susceptible,trabajo,False
33,78,0,infeccioso,susceptible,trabajo,False
2,78,0,infeccioso,susceptible,trabajo,True
1,78,0,expuesto,susceptible,trabajo,False
59,78,0,recuperado,susceptible,trabajo,False
5,78,0,susceptible,susceptible,trabajo,False
66,79,0,recuperado,susceptible,trabajo,False
2,79,0,infeccioso,susceptible,trabajo,True
1,79,0,expuesto,susceptible,trabajo,False
26,79,0,infeccioso,susceptible,trabajo,False
5,79,0,susceptible,susceptible,trabajo,False
66,80,0,recuperado,susceptible,trabajo,False
2,80,0,infeccioso,susceptible,trabajo,True
1,80,0,expuesto,susceptible,trabajo,False
26,80,0,infeccioso,susceptible,trabajo,False
5,80,0,susceptible,susceptible,trabajo,False
68,81,0,recuperado,susceptible,trabajo,False
