cantidad,tiempo,it,estado,estado_observado,actividad,sintomas
98,0,0,susceptible,susceptible,trabajo,False
2,0,0,infeccioso,susceptible,trabajo,False
98,1,0,susceptible,susceptible,trabajo,False
2,1,0,infeccioso,susceptible,trabajo,False
98,2,0,susceptible,susceptible,trabajo,False
2,2,0,infeccioso,susceptible,trabajo,False
97,3,0,susceptible,susceptible,trabajo,False
3,3,0,infeccioso,susceptible,trabajo,False
97,4,0,susceptible,susceptible,trabajo,False
2,4,0,infeccioso,susceptible,trabajo,False
1,4,0,infeccioso,susceptible,trabajo,True
97,5,0,susceptible,susceptible,trabajo,False
2,5,0,infeccioso,susceptible,trabajo,False
1,5,0,infeccioso,susceptible,trabajo,True
97,6,0,susceptible,susceptible,trabajo,False
2,6,0,infeccioso,susceptible,trabajo,False
1,6,0,infeccioso,susceptible,trabajo,True
97,7,0,susceptible,susceptible,trabajo,False
2,7,0,infeccioso,susceptible,trabajo,False
1,7,0,infeccioso,susceptible,trabajo,True
96,8,0,susceptible,susceptible,trabajo,False
2,8,0,infeccioso,susceptible,trabajo,False
1,8,0,expuesto,susceptible,trabajo,False
1,8,0,infeccioso,susceptible,trabajo,True
96,9,0,susceptible,susceptible,trabajo,False
2,9,0,infeccioso,susceptible,trabajo,False
1,9,0,expuesto,susceptible,trabajo,False
1,9,0,infeccioso,susceptible,trabajo,True
96,10,0,susceptible,susceptible,trabajo,False
2,10,0,infeccioso,susceptible,trabajo,False
1,10,0,expuesto,susceptible,trabajo,False
1,10,0,infeccioso,susceptible,trabajo,True
96,11,0,susceptible,susceptible,trabajo,False
2,11,0,infeccioso,susceptible,trabajo,False
1,11,0,expuesto,susceptible,trabajo,False
1,11,0,infeccioso,susceptible,trabajo,True
96,12,0,susceptible,susceptible,trabajo,False
3,12,0,infeccioso,susceptible,trabajo,False
1,12,0,infeccioso,susceptible,trabajo,True
96,13,0,susceptible,susceptible,trabajo,False
4,13,0,infeccioso,susceptible,trabajo,False
96,14,0,susceptible,susceptible,trabajo,False
1,14,0,recuperado,susceptible,trabajo,False
3,14,0,infeccioso,susceptible,trabajo,False
95,15,0,susceptible,susceptible,trabajo,False
1,15,0,expuesto,susceptible,trabajo,False
1,15,0,recuperado,susceptible,trabajo,False
3,15,0,infeccioso,susceptible,trabajo,False
95,16,0,susceptible,susceptible,trabajo,False
4,16,0,infeccioso,susceptible,trabajo,False
1,16,0,recuperado,susceptible,trabajo,False
95,17,0,susceptible,susceptible,trabajo,False
4,17,0,infeccioso,susceptible,trabajo,False
1,17,0,recuperado,susceptible,trabajo,False
95,18,0,susceptible,susceptible,trabajo,False
3,18,0,infeccioso,susceptible,trabajo,False
1,18,0,recuperado,susceptible,trabajo,False
1,18,0,infeccioso,susceptible,trabajo,True
95,19,0,susceptible,susceptible,trabajo,False
2,19,0,infeccioso,susceptible,trabajo,True
1,19,0,recuperado,susceptible,trabajo,False
2,19,0,infeccioso,susceptible,trabajo,False
95,20,0,susceptible,susceptible,trabajo,False
2,20,0,infeccioso,susceptible,trabajo,True
2,20,0,recuperado,susceptible,trabajo,False
1,20,0,infeccioso,susceptible,trabajo,False
95,21,0,susceptible,susceptible,trabajo,False
2,21,0,infeccioso,susceptible,trabajo,True
2,21,0,recuperado,susceptible,trabajo,False
1,21,0,infeccioso,susceptible,trabajo,False
94,22,0,susceptible,susceptible,trabajo,False
2,22,0,infeccioso,susceptible,trabajo,True
2,22,0,recuperado,susceptible,trabajo,False
1,22,0,infeccioso,susceptible,trabajo,False
1,22,0,expuesto,susceptible,trabajo,False
94,23,0,susceptible,susceptible,trabajo,False
2,23,0,infeccioso,susceptible,trabajo,True
2,23,0,recuperado,susceptible,trabajo,False
1,23,0,infeccioso,susceptible,trabajo,False
1,23,0,expuesto,susceptible,trabajo,False
94,24,0,susceptible,susceptible,trabajo,False
2,24,0,infeccioso,susceptible,trabajo,True
3,24,0,recuperado,susceptible,trabajo,False
1,24,0,expuesto,susceptible,trabajo,False
94,25,0,susceptible,susceptible,trabajo,False
2,25,0,infeccioso,susceptible,trabajo,True
3,25,0,recuperado,susceptible,trabajo,False
1,25,0,expuesto,susceptible,trabajo,False
93,26,0,susceptible,susceptible,trabajo,False
2,26,0,infeccioso,susceptible,trabajo,False
3,26,0,recuperado,susceptible,trabajo,False
1,26,0,infeccioso,susceptible,trabajo,True
1,26,0,expuesto,susceptible,trabajo,False
93,27,0,susceptible,susceptible,trabajo,False
3,27,0,infeccioso,susceptible,trabajo,False
3,27,0,recuperado,susceptible,trabajo,False
1,27,0,expuesto,susceptible,trabajo,False
93,28,0,susceptible,susceptible,trabajo,False
3,28,0,infeccioso,susceptible,trabajo,False
3,28,0,recuperado,susceptible,trabajo,False
1,28,0,expuesto,susceptible,trabajo,False
92,29,0,susceptible,susceptible,trabajo,False
5,29,0,infeccioso,susceptible,trabajo,False
3,29,0,recuperado,susceptible,trabajo,False
92,30,0,susceptible,susceptible,trabajo,False
5,30,0,infeccioso,susceptible,trabajo,False
3,30,0,recuperado,susceptible,trabajo,False
91,31,0,susceptible,susceptible,trabajo,False
6,31,0,infeccioso,susceptible,trabajo,False
3,31,0,recuperado,susceptible,trabajo,False
90,32,0,susceptible,susceptible,trabajo,False
1,32,0,expuesto,susceptible,trabajo,False
5,32,0,infeccioso,susceptible,trabajo,False
3,32,0,recuperado,susceptible,trabajo,False
1,32,0,infeccioso,susceptible,trabajo,True
90,33,0,susceptible,susceptible,trabajo,False
1,33,0,expuesto,susceptible,trabajo,False
5,33,0,infeccioso,susceptible,trabajo,False
3,33,0,recuperado,susceptible,trabajo,False
1,33,0,infeccioso,susceptible,trabajo,True
90,34,0,susceptible,susceptible,trabajo,False
1,34,0,expuesto,susceptible,trabajo,False
5,34,0,infeccioso,susceptible,trabajo,False
3,34,0,recuperado,susceptible,trabajo,False
1,34,0,infeccioso,susceptible,trabajo,True
90,35,0,susceptible,susceptible,trabajo,False
1,35,0,expuesto,susceptible,trabajo,False
5,35,0,infeccioso,susceptible,trabajo,False
3,35,0,recuperado,susceptible,trabajo,False
1,35,0,infeccioso,susceptible,trabajo,True
89,36,0,susceptible,susceptible,trabajo,False
1,36,0,expuesto,susceptible,trabajo,False
6,36,0,infeccioso,susceptible,trabajo,False
3,36,0,recuperado,susceptible,trabajo,False
1,36,0,infeccioso,susceptible,trabajo,True
89,37,0,susceptible,susceptible,trabajo,False
1,37,0,expuesto,susceptible,trabajo,False
6,37,0,infeccioso,susceptible,trabajo,False
3,37,0,recuperado,susceptible,trabajo,False
1,37,0,infeccioso,susceptible,trabajo,True
88,38,0,susceptible,susceptible,trabajo,False
7,38,0,infeccioso,susceptible,trabajo,False
3,38,0,recuperado,susceptible,trabajo,False
1,38,0,infeccioso,susceptible,trabajo,True
1,38,0,expuesto,susceptible,trabajo,False
87,39,0,susceptible,susceptible,trabajo,False
7,39,0,infeccioso,susceptible,trabajo,False
4,39,0,recuperado,susceptible,trabajo,False
1,39,0,infeccioso,susceptible,trabajo,True
1,39,0,expuesto,susceptible,trabajo,False
87,40,0,susceptible,susceptible,trabajo,False
7,40,0,infeccioso,susceptible,trabajo,False
5,40,0,recuperado,susceptible,trabajo,False
1,40,0,expuesto,susceptible,trabajo,False
87,41,0,susceptible,susceptible,trabajo,False
8,41,0,infeccioso,susceptible,trabajo,False
5,41,0,recuperado,susceptible,trabajo,False
87,42,0,susceptible,susceptible,trabajo,False
8,42,0,infeccioso,susceptible,trabajo,False
5,42,0,recuperado,susceptible,trabajo,False
87,43,0,susceptible,susceptible,trabajo,False
8,43,0,infeccioso,susceptible,trabajo,False
5,43,0,recuperado,susceptible,trabajo,False
87,44,0,susceptible,susceptible,trabajo,False
8,44,0,infeccioso,susceptible,trabajo,False
5,44,0,recuperado,susceptible,trabajo,False
87,45,0,susceptible,susceptible,trabajo,False
8,45,0,infeccioso,susceptible,trabajo,False
5,45,0,recuperado,susceptible,trabajo,False
87,46,0,susceptible,susceptible,trabajo,False
8,46,0,infeccioso,susceptible,trabajo,False
5,46,0,recuperado,susceptible,trabajo,False
87,47,0,susceptible,susceptible,trabajo,False
8,47,0,infeccioso,susceptible,trabajo,False
5,47,0,recuperado,susceptible,trabajo,False
86,48,0,susceptible,susceptible,trabajo,False
8,48,0,infeccioso,susceptible,trabajo,False
5,48,0,recuperado,susceptible,trabajo,False
1,48,0,expuesto,susceptible,trabajo,False
85,49,0,susceptible,susceptible,trabajo,False
8,49,0,infeccioso,susceptible,trabajo,False
6,49,0,recuperado,susceptible,trabajo,False
1,49,0,expuesto,susceptible,trabajo,False
84,50,0,susceptible,susceptible,trabajo,False
9,50,0,infeccioso,susceptible,trabajo,False
7,50,0,recuperado,susceptible,trabajo,False
84,51,0,susceptible,susceptible,trabajo,False
9,51,0,infeccioso,susceptible,trabajo,False
7,51,0,recuperado,susceptible,trabajo,False
83,52,0,susceptible,susceptible,trabajo,False
7,52,0,infeccioso,susceptible,trabajo,False
8,52,0,recuperado,susceptible,trabajo,False
1,52,0,expuesto,susceptible,trabajo,False
1,52,0,infeccioso,susceptible,trabajo,True
83,53,0,susceptible,susceptible,trabajo,False
6,53,0,infeccioso,susceptible,trabajo,False
8,53,0,recuperado,susceptible,trabajo,False
1,53,0,expuesto,susceptible,trabajo,False
2,53,0,infeccioso,susceptible,trabajo,True
83,54,0,susceptible,susceptible,trabajo,False
7,54,0,infeccioso,susceptible,trabajo,False
8,54,0,recuperado,susceptible,trabajo,False
2,54,0,infeccioso,susceptible,trabajo,True
82,55,0,susceptible,susceptible,trabajo,False
7,55,0,infeccioso,susceptible,trabajo,False
8,55,0,recuperado,susceptible,trabajo,False
1,55,0,expuesto,susceptible,trabajo,False
2,55,0,infeccioso,susceptible,trabajo,True
82,56,0,susceptible,susceptible,trabajo,False
6,56,0,infeccioso,susceptible,trabajo,False
9,56,0,recuperado,susceptible,trabajo,False
1,56,0,expuesto,susceptible,trabajo,False
2,56,0,infeccioso,susceptible,trabajo,True
82,57,0,susceptible,susceptible,trabajo,False
6,57,0,infeccioso,susceptible,trabajo,False
9,57,0,recuperado,susceptible,trabajo,False
1,57,0,expuesto,susceptible,trabajo,False
2,57,0,infeccioso,susceptible,trabajo,True
82,58,0,susceptible,susceptible,trabajo,False
4,58,0,infeccioso,susceptible,trabajo,False
10,58,0,recuperado,susceptible,trabajo,False
3,58,0,infeccioso,susceptible,trabajo,True
1,58,0,expuesto,susceptible,trabajo,False
81,59,0,susceptible,susceptible,trabajo,False
6,59,0,infeccioso,susceptible,trabajo,False
10,59,0,recuperado,susceptible,trabajo,False
2,59,0,infeccioso,susceptible,trabajo,True
1,59,0,expuesto,susceptible,trabajo,False
80,60,0,susceptible,susceptible,trabajo,False
6,60,0,infeccioso,susceptible,trabajo,False
11,60,0,recuperado,susceptible,trabajo,False
2,60,0,infeccioso,susceptible,trabajo,True
1,60,0,expuesto,susceptible,trabajo,False
77,61,0,susceptible,susceptible,trabajo,False
7,61,0,infeccioso,susceptible,trabajo,False
11,61,0,recuperado,susceptible,trabajo,False
3,61,0,infeccioso,susceptible,trabajo,True
2,61,0,expuesto,susceptible,trabajo,False
75,62,0,susceptible,susceptible,trabajo,False
7,62,0,infeccioso,susceptible,trabajo,False
4,62,0,infeccioso,susceptible,trabajo,True
11,62,0,recuperado,susceptible,trabajo,False
3,62,0,expuesto,susceptible,trabajo,False
74,63,0,susceptible,susceptible,trabajo,False
9,63,0,infeccioso,susceptible,trabajo,False
4,63,0,infeccioso,susceptible,trabajo,True
11,63,0,recuperado,susceptible,trabajo,False
2,63,0,expuesto,susceptible,trabajo,False
74,64,0,susceptible,susceptible,trabajo,False
6,64,0,infeccioso,susceptible,trabajo,False
6,64,0,infeccioso,susceptible,trabajo,True
12,64,0,recuperado,susceptible,trabajo,False
2,64,0,expuesto,susceptible,trabajo,False
74,65,0,susceptible,susceptible,trabajo,False
13,65,0,recuperado,susceptible,trabajo,False
5,65,0,infeccioso,susceptible,trabajo,True
6,65,0,infeccioso,susceptible,trabajo,False
2,65,0,expuesto,susceptible,trabajo,False
73,66,0,susceptible,susceptible,trabajo,False
13,66,0,recuperado,susceptible,trabajo,False
6,66,0,infeccioso,susceptible,trabajo,True
6,66,0,infeccioso,susceptible,trabajo,False
2,66,0,expuesto,susceptible,trabajo,False
72,67,0,susceptible,susceptible,trabajo,False
13,67,0,recuperado,susceptible,trabajo,False
5,67,0,infeccioso,susceptible,trabajo,True
7,67,0,infeccioso,susceptible,trabajo,False
3,67,0,expuesto,susceptible,trabajo,False
72,68,0,susceptible,susceptible,trabajo,False
13,68,0,recuperado,susceptible,trabajo,False
5,68,0,infeccioso,susceptible,trabajo,True
7,68,0,infeccioso,susceptible,trabajo,False
3,68,0,expuesto,susceptible,trabajo,False
70,69,0,susceptible,susceptible,trabajo,False
13,69,0,recuperado,susceptible,trabajo,False
5,69,0,infeccioso,susceptible,trabajo,True
9,69,0,infeccioso,susceptible,trabajo,False
3,69,0,expuesto,susceptible,trabajo,False
67,70,0,susceptible,susceptible,trabajo,False
13,70,0,recuperado,susceptible,trabajo,False
14,70,0,infeccioso,susceptible,trabajo,False
4,70,0,infeccioso,susceptible,trabajo,True
2,70,0,expuesto,susceptible,trabajo,False
67,71,0,susceptible,susceptible,trabajo,False
13,71,0,recuperado,susceptible,trabajo,False
14,71,0,infeccioso,susceptible,trabajo,False
4,71,0,infeccioso,susceptible,trabajo,True
2,71,0,expuesto,susceptible,trabajo,False
66,72,0,susceptible,susceptible,trabajo,False
14,72,0,recuperado,susceptible,trabajo,False
14,72,0,infeccioso,susceptible,trabajo,False
4,72,0,infeccioso,susceptible,trabajo,True
2,72,0,expuesto,susceptible,trabajo,False
65,73,0,susceptible,susceptible,trabajo,False
16,73,0,recuperado,susceptible,trabajo,False
12,73,0,infeccioso,susceptible,trabajo,False
4,73,0,infeccioso,susceptible,trabajo,True
3,73,0,expuesto,susceptible,trabajo,False
63,74,0,susceptible,susceptible,trabajo,False
16,74,0,recuperado,susceptible,trabajo,False
14,74,0,infeccioso,susceptible,trabajo,False
4,74,0,infeccioso,susceptible,trabajo,True
3,74,0,expuesto,susceptible,trabajo,False
63,75,0,susceptible,susceptible,trabajo,False
16,75,0,recuperado,susceptible,trabajo,False
14,75,0,infeccioso,susceptible,trabajo,False
4,75,0,infeccioso,susceptible,trabajo,True
3,75,0,expuesto,susceptible,trabajo,False
61,76,0,susceptible,susceptible,trabajo,False
16,76,0,recuperado,susceptible,trabajo,False
15,76,0,infeccioso,susceptible,trabajo,False
4,76,0,infeccioso,susceptible,trabajo,True
4,76,0,expuesto,susceptible,trabajo,False
61,77,0,susceptible,susceptible,trabajo,False
16,77,0,recuperado,susceptible,trabajo,False
17,77,0,infeccioso,susceptible,trabajo,False
4,77,0,infeccioso,susceptible,trabajo,True
2,77,0,expuesto,susceptible,trabajo,False
61,78,0,susceptible,susceptible,trabajo,False
17,78,0,recuperado,susceptible,trabajo,False
17,78,0,infeccioso,susceptible,trabajo,False
3,78,0,infeccioso,susceptible,trabajo,True
2,78,0,expuesto,susceptible,trabajo,False
60,79,0,susceptible,susceptible,trabajo,False
18,79,0,recuperado,susceptible,trabajo,False
17,79,0,infeccioso,susceptible,trabajo,False
2,79,0,infeccioso,susceptible,trabajo,True
3,79,0,expuesto,susceptible,trabajo,False
60,80,0,susceptible,susceptible,trabajo,False
18,80,0,recuperado,susceptible,trabajo,False
18,80,0,infeccioso,susceptible,trabajo,False
2,80,0,infeccioso,susceptible,trabajo,True
2,80,0,expuesto,susceptible,trabajo,False
59,81,0,susceptible,susceptible,trabajo,False
19,81,0,recuperado,susceptible,trabajo,False
17,81,0,infeccioso,susceptible,trabajo,False
3,81,0,infeccioso,susceptible,trabajo,True
2,81,0,expuesto,susceptible,trabajo,False
59,82,0,susceptible,susceptible,trabajo,False
19,82,0,recuperado,susceptible,trabajo,False
18,82,0,infeccioso,susceptible,trabajo,False
1,82,0,expuesto,susceptible,trabajo,False
3,82,0,infeccioso,susceptible,trabajo,True
58,83,0,susceptible,susceptible,trabajo,False
2,83,0,expuesto,susceptible,trabajo,False
22,83,0,recuperado,susceptible,trabajo,False
14,83,0,infeccioso,susceptible,trabajo,False
4,83,0,infeccioso,susceptible,trabajo,True
57,84,0,susceptible,susceptible,trabajo,False
3,84,0,expuesto,susceptible,trabajo,False
23,84,0,recuperado,susceptible,trabajo,False
13,84,0,infeccioso,susceptible,trabajo,False
4,84,0,infeccioso,susceptible,trabajo,True
57,85,0,susceptible,susceptible,trabajo,False
3,85,0,expuesto,susceptible,trabajo,False
24,85,0,recuperado,susceptible,trabajo,False
12,85,0,infeccioso,susceptible,trabajo,False
4,85,0,infeccioso,susceptible,trabajo,True
57,86,0,susceptible,susceptible,trabajo,False
2,86,0,expuesto,susceptible,trabajo,False
24,86,0,recuperado,susceptible,trabajo,False
13,86,0,infeccioso,susceptible,trabajo,False
4,86,0,infeccioso,susceptible,trabajo,True
57,87,0,susceptible,susceptible,trabajo,False
2,87,0,expuesto,susceptible,trabajo,False
24,87,0,recuperado,susceptible,trabajo,False
14,87,0,infeccioso,susceptible,trabajo,False
3,87,0,infeccioso,susceptible,trabajo,True
56,88,0,susceptible,susceptible,trabajo,False
2,88,0,expuesto,susceptible,trabajo,False
25,88,0,recuperado,susceptible,trabajo,False
14,88,0,infeccioso,susceptible,trabajo,False
