cantidad,tiempo,it,estado,estado_observado,actividad,sintomas
98,0,0,susceptible,susceptible,trabajo,False
2,0,0,infeccioso,susceptible,trabajo,False
98,1,0,susceptible,susceptible,trabajo,False
2,1,0,infeccioso,susceptible,trabajo,False
98,2,0,susceptible,susceptible,trabajo,False
2,2,0,infeccioso,susceptible,trabajo,False
98,3,0,susceptible,susceptible,trabajo,False
2,3,0,infeccioso,susceptible,trabajo,False
98,4,0,susceptible,susceptible,trabajo,False
2,4,0,infeccioso,susceptible,trabajo,False
98,5,0,susceptible,susceptible,trabajo,False
2,5,0,infeccioso,susceptible,trabajo,False
98,6,0,susceptible,susceptible,trabajo,False
2,6,0,infeccioso,susceptible,trabajo,False
98,7,0,susceptible,susceptible,trabajo,False
2,7,0,infeccioso,susceptible,trabajo,False
98,8,0,susceptible,susceptible,trabajo,False
2,8,0,infeccioso,susceptible,trabajo,False
98,9,0,susceptible,susceptible,trabajo,False
2,9,0,infeccioso,susceptible,trabajo,False
98,10,0,susceptible,susceptible,trabajo,False
2,10,0,infeccioso,susceptible,trabajo,False
98,11,0,susceptible,susceptible,trabajo,False
2,11,0,infeccioso,susceptible,trabajo,False
98,12,0,susceptible,susceptible,trabajo,False
2,12,0,infeccioso,susceptible,trabajo,False
98,13,0,susceptible,susceptible,trabajo,False
2,13,0,infeccioso,susceptible,trabajo,False
98,14,0,susceptible,susceptible,trabajo,False
1,14,0,infeccioso,susceptible,trabajo,False
1,14,0,recuperado,susceptible,trabajo,False
98,15,0,susceptible,susceptible,trabajo,False
1,15,0,infeccioso,susceptible,trabajo,False
1,15,0,recuperado,susceptible,trabajo,False
98,16,0,susceptible,susceptible,trabajo,False
1,16,0,infeccioso,susceptible,trabajo,False
1,16,0,recuperado,susceptible,trabajo,False
98,17,0,susceptible,susceptible,trabajo,False
1,17,0,infeccioso,susceptible,trabajo,False
1,17,0,recuperado,susceptible,trabajo,False
98,18,0,susceptible,susceptible,trabajo,False
1,18,0,infeccioso,susceptible,trabajo,False
1,18,0,recuperado,susceptible,trabajo,False
98,19,0,susceptible,susceptible,trabajo,False
2,19,0,recuperado,susceptible,trabajo,False
98,20,0,susceptible,susceptible,trabajo,False
2,20,0,recuperado,susceptible,trabajo,False
98,21,0,susceptible,susceptible,trabajo,False
2,21,0,recuperado,susceptible,trabajo,False
98,22,0,susceptible,susceptible,trabajo,False
2,22,0,recuperado,susceptible,trabajo,False
98,23,0,susceptible,susceptible,trabajo,False
2,23,0,recuperado,susceptible,trabajo,False
98,24,0,susceptible,susceptible,trabajo,False
2,24,0,recuperado,susceptible,trabajo,False
98,25,0,susceptible,susceptible,trabajo,False
2,25,0,recuperado,susceptible,trabajo,False
98,26,0,susceptible,susceptible,trabajo,False
2,26,0,recuperado,susceptible,trabajo,False
98,27,0,susceptible,susceptible,trabajo,False
2,27,0,recuperado,susceptible,trabajo,False
98,28,0,susceptible,susceptible,trabajo,False
2,28,0,recuperado,susceptible,trabajo,False
98,29,0,susceptible,susceptible,trabajo,False
2,29,0,recuperado,susceptible,trabajo,False
98,30,0,susceptible,susceptible,trabajo,False
2,30,0,recuperado,susceptible,trabajo,False
98,31,0,susceptible,susceptible,trabajo,False
2,31,0,recuperado,susceptible,trabajo,False
98,32,0,susceptible,susceptible,trabajo,False
2,32,0,recuperado,susceptible,trabajo,False
98,33,0,susceptible,susceptible,trabajo,False
2,33,0,recuperado,susceptible,trabajo,False
98,34,0,susceptible,susceptible,trabajo,False
2,34,0,recuperado,susceptible,trabajo,False
98,35,0,susceptible,susceptible,trabajo,False
2,35,0,recuperado,susceptible,trabajo,False
98,36,0,susceptible,susceptible,trabajo,False
2,36,0,recuperado,susceptible,trabajo,False
98,37,0,susceptible,susceptible,trabajo,False
2,37,0,recuperado,susceptible,trabajo,False
98,38,0,susceptible,susceptible,trabajo,False
2,38,0,recuperado,susceptible,trabajo,False
98,39,0,susceptible,susceptible,trabajo,False
2,39,0,recuperado,susceptible,trabajo,False
98,40,0,susceptible,susceptible,trabajo,False
2,40,0,recuperado,susceptible,trabajo,False
98,41,0,susceptible,susceptible,trabajo,False
2,41,0,recuperado,susceptible,trabajo,False
98,42,0,susceptible,susceptible,trabajo,False
2,42,0,recuperado,susceptible,trabajo,False
98,43,0,susceptible,susceptible,trabajo,False
2,43,0,recuperado,susceptible,trabajo,False
98,44,0,susceptible,susceptible,trabajo,False
2,44,0,recuperado,susceptible,trabajo,False
98,45,0,susceptible,susceptible,trabajo,False
2,45,0,recuperado,susceptible,trabajo,False
98,46,0,susceptible,susceptible,trabajo,False
2,46,0,recuperado,susceptible,trabajo,False
98,47,0,susceptible,susceptible,trabajo,False
2,47,0,recuperado,susceptible,trabajo,False
98,48,0,susceptible,susceptible,trabajo,False
2,48,0,recuperado,susceptible,trabajo,False
98,49,0,susceptible,susceptible,trabajo,False
2,49,0,recuperado,susceptible,trabajo,False
98,50,0,susceptible,susceptible,trabajo,False
2,50,0,recuperado,susceptible,trabajo,False
98,51,0,susceptible,susceptible,trabajo,False
2,51,0,recuperado,susceptible,trabajo,False
98,52,0,susceptible,susceptible,trabajo,False
2,52,0,recuperado,susceptible,trabajo,False
98,53,0,susceptible,susceptible,trabajo,False
2,53,0,recuperado,susceptible,trabajo,False
98,54,0,susceptible,susceptible,trabajo,False
2,54,0,recuperado,susceptible,trabajo,False
98,55,0,susceptible,susceptible,trabajo,False
2,55,0,recuperado,susceptible,trabajo,False
98,56,0,susceptible,susceptible,trabajo,False
2,56,0,recuperado,susceptible,trabajo,False
98,57,0,susceptible,susceptible,trabajo,False
2,57,0,recuperado,susceptible,trabajo,False
98,58,0,susceptible,susceptible,trabajo,False
2,58,0,recuperado,susceptible,trabajo,False
98,59,0,susceptible,susceptible,trabajo,False
2,59,0,recuperado,susceptible,trabajo,False
98,60,0,susceptible,susceptible,trabajo,False
2,60,0,recuperado,susceptible,trabajo,False
98,61,0,susceptible,susceptible,trabajo,False
2,61,0,recuperado,susceptible,trabajo,False
98,62,0,susceptible,susceptible,trabajo,False
2,62,0,recuperado,susceptible,trabajo,False
98,63,0,susceptible,susceptible,trabajo,False
2,63,0,recuperado,susceptible,trabajo,False
98,64,0,susceptible,susceptible,trabajo,False
2,64,0,recuperado,susceptible,trabajo,False
98,65,0,susceptible,susceptible,trabajo,False
2,65,0,recuperado,susceptible,trabajo,False
98,66,0,susceptible,susceptible,trabajo,False
2,66,0,recuperado,susceptible,trabajo,False
98,67,0,susceptible,susceptible,trabajo,False
2,67,0,recuperado,susceptible,trabajo,False
98,68,0,susceptible,susceptible,trabajo,False
2,68,0,recuperado,susceptible,trabajo,False
98,69,0,susceptible,susceptible,trabajo,False
2,69,0,recuperado,susceptible,trabajo,False
98,70,0,susceptible,susceptible,trabajo,False
2,70,0,recuperado,susceptible,trabajo,False
98,71,0,susceptible,susceptible,trabajo,False
2,71,0,recuperado,susceptible,trabajo,False
98,72,0,susceptible,susceptible,trabajo,False
2,72,0,recuperado,susceptible,trabajo,False
98,73,0,susceptible,susceptible,trabajo,False
2,73,0,recuperado,susceptible,trabajo,False
98,74,0,susceptible,susceptible,trabajo,False
2,74,0,recuperado,susceptible,trabajo,False
98,75,0,susceptible,susceptible,trabajo,False
2,75,0,recuperado,susceptible,trabajo,False
98,76,0,susceptible,susceptible,trabajo,False
2,76,0,recuperado,susceptible,trabajo,False
98,77,0,susceptible,susceptible,trabajo,False
2,77,0,recuperado,susceptible,trabajo,False
98,78,0,susceptible,susceptible,trabajo,False
2,78,0,recuperado,susceptible,trabajo,False
98,79,0,susceptible,susceptible,trabajo,False
2,79,0,recuperado,susceptible,trabajo,False
98,80,0,susceptible,susceptible,trabajo,False
2,80,0,recuperado,susceptible,trabajo,False
98,81,0,susceptible,susceptible,trabajo,False
2,81,0,recuperado,susceptible,trabajo,False
98,82,0,susceptible,susceptible,trabajo,False
2,82,0,recuperado,susceptible,trabajo,False
98,83,0,susceptible,susceptible,trabajo,False
2,83,0,recuperado,susceptible,trabajo,False
98,84,0,susceptible,susceptible,trabajo,False
2,84,0,recuperado,susceptible,trabajo,False
98,85,0,susceptible,susceptible,trabajo,False
2,85,0,recuperado,susceptible,trabajo,False
98,86,0,susceptible,susceptible,trabajo,False
2,86,0,recuperado,susceptible,trabajo,False
98,87,0,susceptible,susceptible,trabajo,False
2,87,0,recuperado,susceptible,trabajo,False
98,88,0,susceptible,susceptible,trabajo,False
2,88,0,recuperado,susceptible,trabajo,False
98,89,0,susceptible,susceptible,trabajo,False
2,89,0,recuperado,susceptible,trabajo,False
98,90,0,susceptible,susceptible,trabajo,False
2,90,0,recuperado,susceptible,trabajo,False
98,91,0,susceptible,susceptible,trabajo,False
2,91,0,recuperado,susceptible,trabajo,False
98,92,0,susceptible,susceptible,trabajo,False
2,92,0,recuperado,susceptible,trabajo,False
98,93,0,susceptible,susceptible,trabajo,False
2,93,0,recuperado,susceptible,trabajo,False
98,94,0,susceptible,susceptible,trabajo,False
2,94,0,recuperado,susceptible,trabajo,False
98,95,0,susceptible,susceptible,trabajo,False
2,95,0,recuperado,susceptible,trabajo,False
98,96,0,susceptible,susceptible,trabajo,False
2,96,0,recuperado,susceptible,trabajo,False
98,97,0,susceptible,susceptible,trabajo,False
2,97,0,recuperado,susceptible,trabajo,False
98,98,0,susceptible,susceptible,trabajo,False
2,98,0,recuperado,susceptible,trabajo,False
98,99,0,susceptible,susceptible,trabajo,False
2,99,0,recuperado,susceptible,trabajo,False
98,100,0,susceptible,susceptible,trabajo,False
2,100,0,recuperado,susceptible,trabajo,False
98,101,0,susceptible,susceptible,trabajo,False
2,101,0,recuperado,susceptible,trabajo,False
98,102,0,susceptible,susceptible,trabajo,False
2,102,0,recuperado,susceptible,trabajo,False
98,103,0,susceptible,susceptible,trabajo,False
2,103,0,recuperado,susceptible,trabajo,False
98,104,0,susceptible,susceptible,trabajo,False
2,104,0,recuperado,susceptible,trabajo,False
98,105,0,susceptible,susceptible,trabajo,False
2,105,0,recuperado,susceptible,trabajo,False
98,106,0,susceptible,susceptible,trabajo,False
2,106,0,recuperado,susceptible,trabajo,False
98,107,0,susceptible,susceptible,trabajo,False
2,107,0,recuperado,susceptible,trabajo,False
98,108,0,susceptible,susceptible,trabajo,False
2,108,0,recuperado,susceptible,trabajo,False
98,109,0,susceptible,susceptible,trabajo,False
2,109,0,recuperado,susceptible,trabajo,False
98,110,0,susceptible,susceptible,trabajo,False
2,110,0,recuperado,susceptible,trabajo,False
98,111,0,susceptible,susceptible,trabajo,False
2,111,0,recuperado,susceptible,trabajo,False
98,112,0,susceptible,susceptible,trabajo,False
2,112,0,recuperado,susceptible,trabajo,False
98,113,0,susceptible,susceptible,trabajo,False
2,113,0,recuperado,susceptible,trabajo,False
98,114,0,susceptible,susceptible,trabajo,False
2,114,0,recuperado,susceptible,trabajo,False
98,115,0,susceptible,susceptible,trabajo,False
2,115,0,recuperado,susceptible,trabajo,False
98,116,0,susceptible,susceptible,trabajo,False
2,116,0,recuperado,susceptible,trabajo,False
98,117,0,susceptible,susceptible,trabajo,False
2,117,0,recuperado,susceptible,trabajo,False
98,118,0,susceptible,susceptible,trabajo,False
2,118,0,recuperado,susceptible,trabajo,False
98,119,0,susceptible,susceptible,trabajo,False
2,119,0,recuperado,susceptible,trabajo,False
98,120,0,susceptible,susceptible,trabajo,False
2,120,0,recuperado,susceptible,trabajo,False
98,121,0,susceptible,susceptible,trabajo,False
2,121,0,recuperado,susceptible,trabajo,False
98,122,0,susceptible,susceptible,trabajo,False
2,122,0,recuperado,susceptible,trabajo,False
98,123,0,susceptible,susceptible,trabajo,False
2,123,0,recuperado,susceptible,trabajo,False
98,124,0,susceptible,susceptible,trabajo,False
2,124,0,recuperado,susceptible,trabajo,False
98,125,0,susceptible,susceptible,trabajo,False
2,125,0,recuperado,susceptible,trabajo,False
98,126,0,susceptible,susceptible,trabajo,False
2,126,0,recuperado,susceptible,trabajo,False
98,127,0,susceptible,susceptible,trabajo,False
2,127,0,recuperado,susceptible,trabajo,False
98,128,0,susceptible,susceptible,trabajo,False
2,128,0,recuperado,susceptible,trabajo,False
98,129,0,susceptible,susceptible,trabajo,False
2,129,0,recuperado,susceptible,trabajo,False
98,130,0,susceptible,susceptible,trabajo,False
2,130,0,recuperado,susceptible,trabajo,False
98,131,0,susceptible,susceptible,trabajo,False
2,131,0,recuperado,susceptible,trabajo,False
98,132,0,susceptible,susceptible,trabajo,False
2,132,0,recuperado,susceptible,trabajo,False
98,133,0,susceptible,susceptible,trabajo,False
2,133,0,recuperado,susceptible,trabajo,False
98,134,0,susceptible,susceptible,trabajo,False
2,134,0,recuperado,susceptible,trabajo,False
98,135,0,susceptible,susceptible,trabajo,False
2,135,0,recuperado,susceptible,trabajo,False
98,136,0,susceptible,susceptible,trabajo,False
2,136,0,recuperado,susceptible,trabajo,False
98,137,0,susceptible,susceptible,trabajo,False
2,137,0,recuperado,susceptible,trabajo,False
98,138,0,susceptible,susceptible,trabajo,False
2,138,0,recuperado,susceptible,trabajo,False
98,139,0,susceptible,susceptible,trabajo,False
2,139,0,recuperado,susceptible,trabajo,False
98,140,0,susceptible,susceptible,trabajo,False
2,140,0,recuperado,susceptible,trabajo,False
98,141,0,susceptible,susceptible,trabajo,False
2,141,0,recuperado,susceptible,trabajo,False
98,142,0,susceptible,susceptible,trabajo,False
2,142,0,recuperado,susceptible,trabajo,False
98,143,0,susceptible,susceptible,trabajo,False
2,143,0,recuperado,susceptible,trabajo,False
98,144,0,susceptible,susceptible,trabajo,False
2,144,0,recuperado,susceptible,trabajo,False
98,145,0,susceptible,susceptible,trabajo,False
2,145,0,recuperado,susceptible,trabajo,False
98,146,0,susceptible,susceptible,trabajo,False
2,146,0,recuperado,susceptible,trabajo,False
98,147,0,susceptible,susceptible,trabajo,False
2,147,0,recuperado,susceptible,trabajo,False
98,148,0,susceptible,susceptible,trabajo,False
2,148,0,recuperado,susceptible,trabajo,False
98,149,0,susceptible,susceptible,trabajo,False
2,149,0,recuperado,susceptible,trabajo,False
98,150,0,susceptible,susceptible,trabajo,False
2,150,0,recuperado,susceptible,trabajo,False
98,151,0,susceptible,susceptible,trabajo,False
2,151,0,recuperado,susceptible,trabajo,False
98,152,0,susceptible,susceptible,trabajo,False
2,152,0,recuperado,susceptible,trabajo,False
98,153,0,susceptible,susceptible,trabajo,False
2,153,0,recuperado,susceptible,trabajo,False
98,154,0,susceptible,susceptible,trabajo,False
2,154,0,recuperado,susceptible,trabajo,False
98,155,0,susceptible,susceptible,trabajo,False
2,155,0,recuperado,susceptible,trabajo,False
98,156,0,susceptible,susceptible,trabajo,False
2,156,0,recuperado,susceptible,trabajo,False
99,0,1,susceptible,susceptible,trabajo,False
1,0,1,infeccioso,susceptible,trabajo,False
99,1,1,susceptible,susceptible,trabajo,False
1,1,1,infeccioso,susceptible,trabajo,False
99,2,1,susceptible,susceptible,trabajo,False
1,2,1,infeccioso,susceptible,trabajo,False
99,3,1,susceptible,susceptible,trabajo,False
1,3,1,infeccioso,susceptible,trabajo,False
98,4,1,susceptible,susceptible,trabajo,False
2,4,1,infeccioso,susceptible,trabajo,False
98,5,1,susceptible,susceptible,trabajo,False
2,5,1,infeccioso,susceptible,trabajo,False
98,6,1,susceptible,susceptible,trabajo,False
2,6,1,infeccioso,susceptible,trabajo,False
98,7,1,susceptible,susceptible,trabajo,False
2,7,1,infeccioso,susceptible,trabajo,False
98,8,1,susceptible,susceptible,trabajo,False
2,8,1,infeccioso,susceptible,trabajo,False
98,9,1,susceptible,susceptible,trabajo,False
2,9,1,infeccioso,susceptible,trabajo,False
98,10,1,susceptible,susceptible,trabajo,False
2,10,1,infeccioso,susceptible,trabajo,False
98,11,1,susceptible,susceptible,trabajo,False
2,11,1,infeccioso,susceptible,trabajo,False
97,12,1,susceptible,susceptible,trabajo,False
3,12,1,infeccioso,susceptible,trabajo,False
97,13,1,susceptible,susceptible,trabajo,False
1,13,1,recuperado,susceptible,trabajo,False
1,13,1,infeccioso,susceptible,trabajo,True
1,13,1,infeccioso,susceptible,trabajo,False
97,14,1,susceptible,susceptible,trabajo,False
1,14,1,recuperado,susceptible,trabajo,False
1,14,1,infeccioso,susceptible,trabajo,True
1,14,1,infeccioso,susceptible,trabajo,False
97,15,1,susceptible,susceptible,trabajo,False
1,15,1,recuperado,susceptible,trabajo,False
1,15,1,infeccioso,susceptible,trabajo,True
1,15,1,infeccioso,susceptible,trabajo,False
97,16,1,susceptible,susceptible,trabajo,False
1,16,1,recuperado,susceptible,trabajo,False
1,16,1,infeccioso,susceptible,trabajo,True
1,16,1,infeccioso,susceptible,trabajo,False
97,17,1,susceptible,susceptible,trabajo,False
1,17,1,recuperado,susceptible,trabajo,False
1,17,1,infeccioso,susceptible,trabajo,True
1,17,1,infeccioso,susceptible,trabajo,False
97,18,1,susceptible,susceptible,trabajo,False
1,18,1,recuperado,susceptible,trabajo,False
1,18,1,infeccioso,susceptible,trabajo,True
1,18,1,infeccioso,susceptible,trabajo,False
96,19,1,susceptible,susceptible,trabajo,False
1,19,1,recuperado,susceptible,trabajo,False
1,19,1,infeccioso,susceptible,trabajo,True
2,19,1,infeccioso,susceptible,trabajo,False
96,20,1,susceptible,susceptible,trabajo,False
1,20,1,recuperado,susceptible,trabajo,False
2,20,1,infeccioso,susceptible,trabajo,True
